Name;PSNR;SSIM
Satelite_Molinos2_1024x1024;28,7085;0,6051
Satelite_Molinos3_1024x1024;28,1804;0,4939
Satelite_Molinos_1024x1024;27,7212;0,4334
Satelite_Urbano2_1024x1024;27,8095;0,1206
Satelite_Urbano3_1024x1024;27,7549;0,1159
Satelite_Urbano4_1024x1024;27,8130;0,1855
Satelite_Urbano_1024x1024;27,7410;0,2206
Satelite_Vegetacion2_1024x1024;27,7987;0,1894
Satelite_Vegetacion3_1024x1024;27,6353;0,1749
Satelite_Vegetacion_1024x1024;28,3417;0,1695
Satelite_Viales2_1024x1024;27,6678;0,1356
Satelite_Viales_1024x1024;28,1113;0,4366
