Name;PSNR;SSIM
Satelite_Molinos2_1024x1024;28,7227;0,6027
Satelite_Molinos3_1024x1024;28,1816;0,4965
Satelite_Molinos_1024x1024;27,6845;0,4266
Satelite_Urbano2_1024x1024;27,7994;0,1199
Satelite_Urbano3_1024x1024;27,7477;0,1160
Satelite_Urbano4_1024x1024;27,8074;0,1849
Satelite_Urbano_1024x1024;27,7254;0,2146
Satelite_Vegetacion2_1024x1024;27,7748;0,1862
Satelite_Vegetacion3_1024x1024;27,6316;0,1731
Satelite_Vegetacion_1024x1024;28,2995;0,1703
Satelite_Viales2_1024x1024;27,6593;0,1325
Satelite_Viales_1024x1024;28,1438;0,4344
