Name;PSNR;SSIM
Satelite_Molinos2_1024x1024;28,8380;0,6057
Satelite_Molinos3_1024x1024;28,0976;0,4943
Satelite_Molinos_1024x1024;27,6739;0,4282
Satelite_Urbano2_1024x1024;27,7995;0,1173
Satelite_Urbano3_1024x1024;27,7496;0,1143
Satelite_Urbano4_1024x1024;27,8273;0,1847
Satelite_Urbano_1024x1024;27,7396;0,2148
Satelite_Vegetacion2_1024x1024;27,7753;0,1859
Satelite_Vegetacion3_1024x1024;27,6379;0,1749
Satelite_Vegetacion_1024x1024;28,3304;0,1702
Satelite_Viales2_1024x1024;27,6699;0,1356
Satelite_Viales_1024x1024;28,1122;0,4353
